timestamp,score,ganancia_estimada,porcentaje_bajistas,prediccion_futura,ema,rsi,momentum,spread,rf_spike,lstm_spike,visual_spike,ultima_direccion,accion,monto,multiplicador,exito,Q0,Q1,Q2,Q3,ema_diff
2025-06-10 20:59:00,1.19,32.44,100.0,0.8794,18055.437183850925,0.0,-1.0400000000008731,1.007000000001426,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.104782148715458
2025-06-10 21:00:00,1.19,32.46,100.0,0.879,18054.350726379475,0.0,-1.0570000000006985,1.048000000002503,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.086457471450558
2025-06-10 21:01:00,1.19,32.44,100.0,0.8788,18053.25455237032,0.0,-1.1640000000006694,1.129000000000815,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.09617400915522
2025-06-10 21:02:00,1.19,32.35,100.0,0.8789,18052.15304745444,0.0,-1.069999999999709,1.0610000000015134,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.10150491587774
2025-06-10 21:03:00,1.19,32.38,100.0,0.8785,18051.03413920497,0.0,-1.2229999999981374,1.212999999999738,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.1189082494711329
2025-06-10 21:04:00,1.19,32.44,100.0,0.8788,18049.921547732185,0.0,-0.9989999999997964,0.9969999999993888,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.1125914727854251
2025-06-10 21:05:00,1.19,32.06,100.0,0.8786,18048.85687079655,0.0,-0.9420000000027358,0.9320000000006984,0.0,0.0,0.0,0.0,1,2.0,200,0,0.0,0.0,0.0,0.0,-1.0646769356353616
2025-06-10 21:06:00,1.19,31.71,100.0,0.8783,18047.814202764566,0.0,-1.04399999999805,1.0119999999988067,0.0,0.0,0.0,0.0,3,4.0,400,0,0.0,0.0,0.0,0.0,-1.0426680319833397
2025-06-10 21:07:00,1.19,31.64,100.0,0.8783,18046.77400350348,0.0,-1.0279999999984284,1.0049999999973809,0.0,0.0,0.0,0.0,2,3.0,300,0,0.0,0.0,0.0,0.0,-1.0401992610859452
2025-06-10 21:08:00,1.19,31.8,100.0,0.8781,18045.726564328703,0.0,-1.0900000000001455,1.080999999998312,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0474391747775371
2025-06-10 21:09:00,1.19,32.07,100.0,0.8781,18044.67687364145,0.0,-1.0250000000014552,1.0119999999988067,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.049690687254042
2025-06-10 21:10:00,1.2,31.75,100.0,0.8781,18043.64734516452,0.0,-0.9589999999989232,0.9149999999972352,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0295284769272257
2025-06-10 21:11:00,1.2,31.3,100.0,0.8777,18042.61913188692,0.0,-1.0800000000017462,1.0640000000021246,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0282132776010258
2025-06-10 21:12:00,1.2,31.44,100.0,0.8776,18041.562162667386,0.0,-1.1440000000002328,1.1350000000020373,0.0,0.0,0.0,0.0,3,4.0,400,0,0.0,0.0,0.0,0.0,-1.056969219534949
2025-06-10 21:13:00,1.2,31.42,100.0,0.8777,18040.50115021585,0.0,-1.0079999999979918,1.0020000000004077,0.0,0.0,0.0,0.0,3,4.0,400,0,0.0,0.0,0.0,0.0,-1.0610124515369534
2025-06-10 21:14:00,1.2,31.28,100.0,0.8775,18039.44620799568,0.0,-1.070999999999913,1.058999999997468,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0549422201693233
2025-06-10 21:15:00,1.2,31.35,100.0,0.8774,18038.38141196401,0.0,-1.096000000001368,1.0689999999995052,0.0,0.0,0.0,0.0,1,2.0,200,0,0.0,0.0,0.0,0.0,-1.064796031670994
2025-06-10 21:16:00,1.2,31.32,100.0,0.8773,18037.305936934543,0.0,-1.0980000000017751,1.0790000000015425,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0754750294654514
2025-06-10 21:17:00,1.2,31.18,100.0,0.8773,18036.24047017929,0.0,-1.0019999999967697,0.97099999999773,0.0,0.0,0.0,0.0,1,2.0,200,0,0.0,0.0,0.0,0.0,-1.0654667552516912
2025-06-10 21:18:00,1.2,30.82,100.0,0.8771,18035.203984169577,0.0,-0.9580000000023574,0.9400000000023284,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.036486009714281
2025-06-10 21:19:00,1.2,30.5,100.0,0.877,18034.19453485729,0.0,-0.9519999999974972,0.9499999999970896,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0094493122851418
2025-06-10 21:20:00,1.2,30.79,100.0,0.8765,18033.1420770532,0.0,-1.2930000000014843,1.2669999999998254,0.0,0.0,0.0,0.0,2,3.0,300,0,0.0,0.0,0.0,0.0,-1.0524578040931374
2025-06-10 21:21:00,1.2,31.12,100.0,0.877,18032.059555713266,0.0,-1.0210000000006405,1.0090000000018335,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0825213399330096
2025-06-10 21:22:00,1.2,31.06,100.0,0.8767,18031.00773564273,0.0,-0.9639999999999418,0.944999999999709,0.0,0.0,0.0,0.0,0,1.0,100,0,0.0,0.0,0.0,0.0,-1.0518200705373602
2025-06-10 21:23:00,1.2,30.85,100.0,0.8766,18029.98912881865,0.0,-0.940999999998894,0.9399999999986904,0.0,0.0,0.0,0.0,2,3.0,300,0,0.0,0.0,0.0,0.0,-1.0186068240764143
