timestamp,fecha,hora,open,high,low,close,spread,fuerza_cuerpo,fuerza_mecha,score,rsi,ema,momentum,variacion,alcista,volumen_tick,spike_real,spike_anticipado,ganancia_esperada,duracion_estimada,operacion_exitosa
1751233440,06-29-25,21:44:00,16734.523,16734.523,16733.586,16733.586,0.937,0.937,0,0,50,16725.9172,-0.947,-5.65896E-05,0,60,0,1,-1.271,2,0
1751233500,06-29-25,21:45:00,16733.573,16733.573,16732.452,16732.452,1.121,1.121,0,0,50,16727.10535,-1.134,-6.77679E-05,0,60,0,1,-2.405,1,0
1751233560,06-29-25,21:46:00,16732.412,16735.549,16732.259,16734.857,3.29,2.445,0.845,0.789665653,50,16728.51474,2.405,0.000143733,1,60,1,0,0,0,0
1751233620,06-29-25,21:47:00,16734.848,16734.848,16733.806,16733.806,1.042,1.042,0,0,50,16729.47678,-1.051,-0.000062803,0,60,0,0,0,0,0
1751233680,06-29-25,21:48:00,16733.789,16733.789,16732.769,16732.769,1.02,1.02,0,0,50,16730.07537,-1.037,-6.19704E-05,0,60,0,0,0,0,0
1751233740,06-29-25,21:49:00,16732.753,16732.753,16731.716,16731.716,1.037,1.037,0,0,50,16730.37367,-1.053,-6.29304E-05,0,60,0,0,0,0,0
1751233800,06-29-25,21:50:00,16731.69,16731.69,16730.658,16730.658,1.032,1.032,0,0,50,16730.42536,-1.058,-6.32332E-05,0,60,0,0,0,0,0
1751233860,06-29-25,21:51:00,16730.651,16730.651,16729.654,16729.654,0.997,0.997,0,0,50,16730.28512,-1.004,-6.00096E-05,0,60,0,1,-2.421,3,0
1751233920,06-29-25,21:52:00,16729.649,16729.649,16728.588,16728.588,1.061,1.061,0,0,59.97476518,16729.97655,-1.066,-6.37192E-05,0,60,0,1,-3.487,2,0
1751233980,06-29-25,21:53:00,16728.56,16728.56,16727.657,16727.657,0.903,0.903,0,0,58.07962529,16729.55481,-0.931,-5.56532E-05,0,60,0,1,-4.418,1,0
