epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas,futuro
1750236120.0,17385.049,17385.049,17383.953,17383.953,1.09599999999773,-1.1229999999995923,-6.304267534694495e-05,-6.110248623540491e-05,65.07356671740393,17387.176240259847,1.09599999999773,0.0,0.0,0.0,1.0,-3.121000000002823
1750236180.0,17383.94,17383.94,17382.874,17382.874,1.065999999998894,-1.0790000000015425,-6.132096636314288e-05,-6.18193772321417e-05,0.0,17386.394009157186,1.065999999998894,0.0,0.0,0.0,1.0,-2.8590000000003783
1750236240.0,17382.855,17382.855,17381.879,17381.879,0.9759999999987484,-0.9949999999989814,-5.614727845332361e-05,-6.140883148277253e-05,0.0,17385.573092841772,0.9759999999987484,0.0,0.0,0.0,1.0,-3.1270000000004075
1750236300.0,17381.842,17381.842,17380.832,17380.832,1.0100000000020373,-1.0470000000022992,-5.810661493770552e-05,-6.068780980675373e-05,0.0,17384.71106992974,1.0100000000020373,0.0,0.0,0.0,1.0,-3.065999999998894
1750236360.0,17380.823,17380.823,17380.015,17380.015,0.8080000000009022,-0.8169999999990978,-4.64880172820874e-05,-5.7021110476640926e-05,0.0,17383.857233231884,0.8080000000009022,0.0,0.0,0.0,1.0,-3.2989999999990687
1750236420.0,17379.985,17379.985,17378.752,17378.752,1.2330000000001746,-1.2629999999990105,-7.094367457740468e-05,-5.860131032273286e-05,0.0,17382.929002332894,1.2330000000001746,0.0,0.0,0.0,1.0,-3.0450000000018917
1750236480.0,17378.744,17378.744,17377.766,17377.766,0.977999999999156,-0.9860000000007858,-5.62756433951243e-05,-5.7592245729129095e-05,0.0,17381.990268344613,0.977999999999156,0.0,0.0,0.0,1.0,-3.0829999999987194
1750236540.0,17377.759,17377.759,17376.716,17376.716,1.0429999999978463,-1.0499999999992724,-6.00192464401104e-05,-5.836663932648646e-05,0.0,17381.031304526496,1.0429999999978463,0.0,0.0,0.0,1.0,-3.077000000001135
1750236600.0,17376.67,17376.67,17375.707,17375.707,0.962999999999738,-1.0090000000018335,-5.541913381561244e-05,-5.7829143102067886e-05,0.0,17380.063242725006,0.962999999999738,0.0,0.0,0.0,1.0,-3.088999999999942
1750236660.0,17375.693,17375.693,17374.683,17374.683,1.0099999999983993,-1.0239999999976137,-5.81271780065635e-05,-6.015697524696306e-05,0.0,17379.085132770306,1.0099999999983993,0.0,0.0,0.0,1.0,-3.087999999999738
1750236720.0,17374.678,17374.678,17373.639,17373.639,1.0390000000006694,-1.044000000001688,-5.979966938096173e-05,-5.792817420767452e-05,0.0,17378.094921175783,1.0390000000006694,0.0,0.0,0.0,1.0,-3.025999999998021
