epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas
1750147320,17639.382,17639.382,17638.375,17638.375,1.007,-1.043,-5.70882E-05,-0.00006072,0,17643.20614,1.007,0,0,0,1
1750147380,17638.344,17638.344,17637.396,17637.396,0.948,-0.979,-5.37465E-05,-5.97371E-05,0,17642.14974,0.948,0,0,0,1
1750147440,17637.375,17637.375,17636.338,17636.338,1.037,-1.058,-5.87956E-05,-5.87998E-05,0,17641.09314,1.037,0,0,0,1
1750147500,17636.327,17636.327,17635.245,17635.245,1.082,-1.093,-6.13506E-05,-5.80099E-05,0,17640.02984,1.082,0,0,0,1
1750147560,17635.237,17635.237,17634.29,17634.29,0.947,-0.955,-5.36993E-05,-5.69361E-05,0,17638.98622,0.947,0,0,0,1
1750147620,17634.242,17634.242,17632.878,17632.878,1.364,-1.412,-7.73495E-05,-6.09883E-05,0,17637.87563,1.364,0,0,0,1
1750147680,17632.87,17632.87,17631.894,17631.894,0.976,-0.984,-5.53512E-05,-6.13092E-05,0,17636.78805,0.976,0,0,0,1
1750147740,17631.882,17631.882,17630.671,17630.671,1.211,-1.223,-6.86824E-05,-6.32866E-05,0,17635.67594,1.211,0,0,0,1
1750147800,17630.647,17630.647,17629.52,17629.52,1.127,-1.151,-6.39228E-05,-0.000063801,0,17634.55667,1.127,0,0,0,1
1750147860,17629.495,17629.495,17628.408,17628.408,1.087,-1.112,-0.000061658,-6.53928E-05,0,17633.43872,1.087,0,0,0,1
1750147920,17628.398,17628.398,17627.326,17627.326,1.072,-1.082,-0.000060811,-6.20851E-05,0,17632.32751,1.072,0,0,0,1
1750147980,17627.284,17627.284,17626.374,17626.374,0.91,-0.952,-5.16245E-05,-6.13397E-05,0,17631.24505,0.91,0,0,0,1
1750148040,17626.356,17626.356,17625.385,17625.385,0.971,-0.989,-0.000055088,-5.86209E-05,0,17630.17958,0.971,0,0,0,1
1750148100,17625.357,17625.357,17624.328,17624.328,1.029,-1.057,-5.83818E-05,-5.75127E-05,0,17629.11565,1.029,0,0,0,1
1750148160,17624.321,17624.321,17623.182,17623.182,1.139,-1.146,-6.46266E-05,-5.81064E-05,0,17628.0368,1.139,0,0,0,1
1750148220,17623.151,17623.151,17622.112,17622.112,1.039,-1.07,-5.89565E-05,-5.77355E-05,0,17626.95955,1.039,0,0,0,1
1750148280,17622.107,17622.107,17621.289,17621.289,0.818,-0.823,-0.000046419,-5.66944E-05,0,17625.92854,0.818,0,0,0,1
1750148340,17621.255,17621.255,17620.363,17620.363,0.892,-0.926,-5.06207E-05,-5.58009E-05,0,17624.91662,0.892,0,0,0,1
1750148400,17620.348,17620.348,17619.419,17619.419,0.929,-0.944,-5.27231E-05,-5.46692E-05,0,17623.91704,0.929,0,0,0,1
1750148460,17619.414,17619.414,17618.364,17618.364,1.05,-1.055,-5.95934E-05,-5.36625E-05,0,17622.90739,1.05,0,0,0,1
1750148520,17618.34,17618.34,17617.449,17617.449,0.891,-0.915,-5.05723E-05,-5.19857E-05,0,17621.91495,0.891,0,0,0,1
1750148580,17617.427,17617.427,17616.4,17616.4,1.027,-1.049,-5.82946E-05,-5.43608E-05,0,17620.91223,1.027,0,0,0,1
1750148640,17616.385,17616.385,17615.148,17615.148,1.237,-1.252,-7.02187E-05,-5.82804E-05,0,17619.86418,1.237,0,0,0,1
1750148700,17615.141,17615.141,17614.171,17614.171,0.97,-0.977,-5.50663E-05,-0.000058749,0,17618.82905,0.97,0,0,0,1
1750148760,17614.145,17614.145,17613.246,17613.246,0.899,-0.925,-5.10385E-05,-5.70381E-05,0,17617.81407,0.899,0,0,0,1
1750148820,17613.229,17613.229,17612.252,17612.252,0.977,-0.994,-5.54697E-05,-5.80175E-05,0,17616.80278,0.977,0,0,0,1
1750148880,17612.25,17612.25,17611.138,17611.138,1.112,-1.114,-6.31379E-05,-5.89862E-05,0,17615.77281,1.112,0,0,0,1
1750148940,17611.131,17611.131,17609.992,17609.992,1.139,-1.146,-0.000064675,-5.78775E-05,0,17614.72175,1.139,0,0,0,1
1750149000,17609.977,17609.977,17608.966,17608.966,1.011,-1.026,-5.74106E-05,-5.83463E-05,0,17613.67524,1.011,0,0,0,1
1750149060,17608.932,17608.932,17607.854,17607.854,1.078,-1.112,-6.12189E-05,-6.03824E-05,0,17612.61683,1.078,0,0,0,1
1750149120,17607.829,17607.829,17606.843,17606.843,0.986,-1.011,-5.59978E-05,-6.04881E-05,0,17611.56704,0.986,0,0,0,1
1750149180,17606.822,17606.822,17605.919,17605.919,0.903,-0.924,-5.12869E-05,-5.81179E-05,0,17610.54011,0.903,0,0,0,1
1750149240,17605.885,17605.885,17604.918,17604.918,0.967,-1.001,-5.49248E-05,-5.61678E-05,0,17609.51791,0.967,0,0,0,1
1750149300,17604.895,17604.895,17604.004,17604.004,0.891,-0.914,-5.06109E-05,-5.48079E-05,0,17608.51537,0.891,0,0,0,1
1750149360,17603.979,17603.979,17602.995,17602.995,0.984,-1.009,-5.58965E-05,-5.37434E-05,0,17607.51166,0.984,0,0,0,1
1750149420,17602.959,17602.959,17601.957,17601.957,1.002,-1.038,-5.69222E-05,-5.39283E-05,0,17606.50172,1.002,0,0,0,1
