open,high,low,close,spread,momentum,ema,rsi
18294.976,18294.976,18293.949,18293.949,1.0269999999982249,-5.711945027142562e-05,18299.70680902763,33.81489158922793
18293.936,18293.936,18292.697,18292.697,1.239000000001397,-6.84379299407123e-05,18298.772167823947,31.86808708825093
18292.682,18292.682,18291.528,18291.528,1.15400000000227,-6.390528416899688e-05,18297.80627878076,30.124175828618466
18291.504,18291.504,18290.539,18290.539,0.9650000000001456,-5.4068747017632646e-05,18296.83730827665,28.693571738923023
18290.534,18290.534,18289.451,18289.451,1.0829999999987194,-5.948430497315638e-05,18295.8524671731,27.16518172922474
18289.431,18289.431,18288.423,18288.423,1.0080000000016298,-5.62072639579414e-05,18294.86187155002,25.768529994375868
18288.406,18288.406,18287.337,18287.337,1.0689999999995052,-5.938182860265595e-05,18293.85855534335,24.344566207746045
18287.308,18287.308,18286.434,18286.434,0.8739999999997963,-4.937843054997337e-05,18292.868614630905,23.19673313219956
18286.43,18286.43,18285.473,18285.473,0.9569999999985156,-5.25526190616743e-05,18291.88253268012,22.00749811444141
18285.464,18285.464,18284.164,18284.164,1.2999999999992724,-7.15868821113963e-05,18290.85339498944,20.468204221372886
18284.16,18284.16,18283.108,18283.108,1.05199999999968,-5.775489653236932e-05,18289.82067565751,19.29568485276359
18283.075,18283.075,18282.026,18282.026,1.048999999999069,-5.91803100434829e-05,18288.78138556984,18.14851082793244
18282.021,18282.021,18281.036,18281.036,0.985000000000582,-5.4151547536407385e-05,18287.748667493863,17.14417639793548
18281.001,18281.001,18279.968,18279.968,1.032999999999447,-5.8421196697966415e-05,18286.711245161347,16.108524378309518
18279.95,18279.95,18278.868,18278.868,1.0820000000021537,-6.017516004419576e-05,18285.665479139832,15.096961478748652
18278.833,18278.833,18277.728,18277.728,1.1049999999995634,-6.236710063223239e-05,18284.607148587853,14.108170100895917
18277.692,18277.692,18276.6,18276.6,1.092000000000553,-6.171445378777562e-05,18283.53952877614,13.187772452128296
18276.579,18276.579,18275.587,18275.587,0.9920000000020082,-5.542606392872074e-05,18282.479191605988,12.405082939565034
18275.57,18275.57,18274.467,18274.467,1.102999999999156,-6.128394124904624e-05,18281.410899391856,11.58632233704678
18274.421,18274.421,18273.177,18273.177,1.2439999999987776,-7.059029409728357e-05,18280.31304613961,10.709553695849197
18273.162,18273.162,18272.299,18272.299,0.8630000000011933,-4.804856867535179e-05,18279.24450665433,10.146751338163217
18272.264,18272.264,18271.138,18271.138,1.1260000000002035,-6.35388026433148e-05,18278.163639100418,9.44028415993931
18271.114,18271.114,18270.091,18270.091,1.0230000000010475,-5.730349144095204e-05,18277.08728722036,8.842377785508766
18270.06,18270.06,18268.92,18268.92,1.140000000003056,-6.409382416328047e-05,18275.99831559098,8.215641964041966
18268.893,18268.893,18267.889,18267.889,1.004000000000815,-5.643464419347044e-05,18274.91707351218,7.698278758870887
18267.859,18267.859,18266.796,18266.796,1.0630000000019209,-5.983176271762147e-05,18273.83426371056,7.181931947281582
18266.782,18266.782,18265.661,18265.661,1.120999999999185,-6.21345965651221e-05,18272.74449521581,6.680816497479274
18265.654,18265.654,18264.643,18264.643,1.010999999998603,-5.573299537309229e-05,18271.664295853705,6.258986808227708
18264.591,18264.591,18263.585,18263.585,1.0060000000012224,-5.79261253560448e-05,18270.587056406544,5.845864259591327
18263.571,18263.571,18262.668,18262.668,0.9029999999984284,-5.020920043885546e-05,18269.531182219005,5.506608362907007
18262.667,18262.667,18261.51,18261.51,1.1570000000028813,-6.340804092830332e-05,18268.46169125647,5.103801930613757
18261.455,18261.455,18260.377,18260.377,1.0780000000013388,-6.204306215629174e-05,18267.38373242228,4.738572496585421
18260.37,18260.37,18259.33,18259.33,1.0399999999972351,-5.733726088996693e-05,18266.30990143264,4.42354811405426
18259.296,18259.296,18258.349,18258.349,0.9470000000001164,-5.372595818153858e-05,18265.248447908285,4.145463629890068
18258.331,18258.331,18257.298,18257.298,1.032999999999447,-5.756270734003088e-05,18264.18838818718,3.86512199562704
18257.272,18257.272,18256.243,18256.243,1.02900000000227,-5.778511146614651e-05,18263.12900309556,3.601810523508492
18256.219,18256.219,18255.126,18255.126,1.0930000000007567,-6.118454930725825e-05,18262.06193601615,3.342198827538496
18255.119,18255.119,18253.956,18253.956,1.1630000000004657,-6.409158720688257e-05,18260.98114454733,3.0908918360094324
18253.928,18253.928,18252.888,18252.888,1.0400000000008731,-5.850786536354402e-05,18259.902058607688,2.878148684408917
18252.867,18252.867,18251.748,18251.748,1.1189999999987776,-6.245586999709118e-05,18258.81485079333,2.6671239949772536
18251.745,18251.745,18250.716,18250.716,1.028999999998632,-5.654252951547978e-05,18257.735004020884,2.489198147727168
